name,lat,lng,region,country,source_url,maps_url
"Nahe Elsfleth, Oberhammelwarden, km",53.276713,8.477928,Binnenland,,https://wiki.faltboot.org/wiki/index.php?title=Unterweser/Au%C3%9Fenweser,"https://www.google.com/maps/place/53%C2%B016'38.3%22N+8%C2%B028'58.0%22E/@53.2767128,8.4779278,439m/data=!3m1!1e3!4m19!1m12!4m11!1m3!2m2!1d8.4981983!2d53.3332587!1m6!1m2!1s0x47b6cf270d245849:0x9712cdc98b1e4b66!2sZeltplatz-Harriersand.de,+28790+Schwanewede!2m2!1d8.498885!2d53.3335543!3m5!1s0x0:0x0!7e2!8m2!3d53.277311!4d8.4827881"
"km 53,5 links, ehemalige Fährrampe Kleinensiel (gegenüber Dedesdorf) könnte even",53.443596,8.481083,Binnenland,,https://wiki.faltboot.org/wiki/index.php?title=Unterweser/Au%C3%9Fenweser,"https://www.google.com/maps/place/53%C2%B026'35.9%22N+8%C2%B029'04.6%22E/@53.4435962,8.481083,736m/data=!3m1!1e3!4m6!3m5!1s0x0:0x0!7e2!8m2!3d53.4433129!4d8.4846018"
"Slipanlage Hafen ( google map ): Slipanlage aus Stahlbohlen, also faltboothautfr",53.36199,13.060425,Gewässer,,"https://wiki.faltboot.org/wiki/index.php?title=Havel,_Einsetzstellen","https://www.google.com/maps/dir/Neustrelitz,+Hauptbahnhof,+Neustrelitz/Am+Stadthafen,+17235+Neustrelitz/@53.3619902,13.0604253,1431m/data=!3m1!1e3!4m15!4m14!1m5!1m1!1s0x47a960069873b47f:0x79d3506f57fb81cd!2m2!1d13.0743314!2d53.3593708!1m5!1m1!1s0x47a95ff998800da7:0xc3f093b06f16b414!2m2!1d13.0553171!2d53.3648964!3e2!5i1?shorturl=1"
Gute Aufbaustelle ist der Hafen : vom,53.28818,12.964833,Gewässer,,"https://wiki.faltboot.org/wiki/index.php?title=Havel,_Einsetzstellen","http://maps.google.de/maps?f=q&hl=de&geocode=&q=53.286531,+12.962762&jsv=107&ie=UTF8&ll=53.28818,12.964833&spn=0.008966,0.019119&t=h&z=16&iwloc=addr"
Jugendherberge Nikolassee ( google maps und Webcam ): Die beste Einsetzstelle in,52.432761,13.186297,Gewässer,,"https://wiki.faltboot.org/wiki/index.php?title=Havel,_Einsetzstellen","https://www.google.de/maps/dir/52.4321622,13.1927507/52.4329065,13.1854345/@52.4327611,13.1862967,716m/data=!3m1!1e3!4m9!4m8!1m5!3m4!1m2!1d13.1905576!2d52.4329842!3s0x47a85906608e8255:0x91412e4f092e0a05!1m0!3e2?shorturl=1"
Offizielle Aussetzstelle und Übernachtungsmöglichkeit ( google maps ): An einem,52.446072,13.12819,Gewässer,,"https://wiki.faltboot.org/wiki/index.php?title=Havel,_Einsetzstellen","https://www.google.de/maps/dir/52.4472283,13.127418/52.4455786,13.1313037/@52.446072,13.12819,315m/data=!3m1!1e3!4m2!4m1!3e2?shorturl=1"
"Aus dem Bahnhof heraus nach rechts (Westen), die August-Bebel-Straße und weiter",52.484936,12.459419,Gewässer,,"https://wiki.faltboot.org/wiki/index.php?title=Havel,_Einsetzstellen","http://maps.google.de/maps?f=d&hl=de&geocode=13269714948423378876,52.483678,12.462753%3B5646804229237537693,52.482964,12.453334&saddr=August-Bebel-Stra%C3%9Fe+%4052.483678,+12.462753&daddr=August-Bebel-Stra%C3%9Fe+%4052.482964,+12.453334&sll=52.486037,12.472631&sspn=0.002319,0.004828&ie=UTF8&ll=52.484936,12.459419&spn=0.009278,0.019312&t=h&z=16"
Wegbeschreibung vom Bahnhof Mirow zum öfftl. Hafen,53.272694,12.8131,Gewässer,,"https://wiki.faltboot.org/wiki/index.php?title=M%C3%BCritz_und_Umgebung,_Einsetzstellen","https://www.google.de/maps/dir/Mirow,+Bahnhof,+Mirow/53.2752846,12.8117899/@53.2726944,12.8130998,697m/am=t/data=!3m2!1e3!4b1!4m9!4m8!1m5!1m1!1s0x47a95a50969ddae9:0x55e83a14019a9695!2m2!1d12.8205624!2d53.2705292!1m0!3e2?entry=tts&shorturl=1"
"Am Wochenende wird die Haltestelle ""Kagar, Gaststätte"" nicht angefahren, sondern",53.1301,12.792643,Gewässer,,"https://wiki.faltboot.org/wiki/index.php?title=M%C3%BCritz_und_Umgebung,_Einsetzstellen","https://www.google.com/maps/dir/53.1331135,12.7876705/53.12763,12.812368/@53.1300998,12.7926432,2918m/data=!3m2!1e3!4b1!4m2!4m1!3e2?shorturl=1"
Eine weitere Einsatzstelle ist in die Alte Oder kurz vor ihrer Mündung in die Od,52.340088,14.547147,Gewässer,,"https://wiki.faltboot.org/wiki/index.php?title=Oder,_Einsetzstellen","https://www.google.com/maps/dir/52.3373987,14.5474643/52.3429499,14.5579663/@52.340088,14.5471475,1351m/data=!3m2!1e3!4b1!4m2!4m1!3e2"
